"Key","Issue Type","Epic","Summary","Description","Phase","Priority","Status","Owner","Estimate","Dependencies","Acceptance Criteria","Source","Built By","Builder Remarks","Agent S Comments","Rollback Notes","Milestone"
"TSP-011","Task","Auth And Profiles","Create user profile schema","Add user_profiles and user_consents tables with migrations.","Phase 0","Critical","Done","agent_CT","TBD","TSP-009","Profile and consent rows are created for new users.","FINAL_TRD Section 6.1","agent_CT","Created user_profiles and user_consents in Drizzle and SQL migration. Added auth user trigger to create profile records after signup.","Migration 202605060001 is solid. handle_new_user_profile trigger auto-creates the profile row on auth.users insert with email-prefix fallback for name - closes the gap flagged in the FINAL_TRD review. streak_freezes column is already present which aligns with the behavioral design spec. GIN index on target_exams is a useful addition for future exam-filtered queries.","","Done"
"TSP-012","Task","Auth And Profiles","Build profile page","Allow users to edit name target exams exam date study time and preferred test days.","Phase 1","High","Backlog","Unassigned","TBD","TSP-011","Profile updates persist and validate inputs.","FINAL_PRD UM-04 UM-05","","","","","M6 Hardening&Launch"
"TSP-013","Task","Auth And Profiles","Implement AI consent capture","Store consent for AI analysis and generation use cases.","Phase 1","High","Backlog","Unassigned","TBD","TSP-011","AI features verify consent before use.","FINAL_PRD UM-06","","","","","M6 Hardening&Launch"
"TSP-014","Task","Auth And Profiles","Implement account export and deletion","Allow user data export and account deletion workflow.","Phase 1","High","Backlog","Unassigned","TBD","TSP-011","User can request export and deletion with audit-safe handling.","FINAL_PRD UM-07","","","","","M6 Hardening&Launch"
"TSP-015","Task","Auth And Profiles","Add RLS policies for user-owned tables","Protect profiles sessions answers results mastery mistakes events and schedules.","Phase 1","Critical","Done","agent_CT","TBD","TSP-011","Users cannot access another user's rows in integration tests.","FINAL_TRD Section 8","agent_CT","Added owner-only RLS policies for profile and consent tables. Additional user-owned RLS policies should be added alongside future session/result schemas.","All four CRUD RLS policies (select insert update delete) are implemented for both user_profiles and user_consents. Policies use correct auth.uid() checks. Note: /exams path is absent from the middleware protected prefixes list - confirm whether public exam catalog browsing is intentional before adding the user-specific exam stats route (TSP-076).","","Done"
"TSP-016","Epic","Exam Manifest Engine","Build zero-code exam configuration system","Admins can define exams through manifests topics concepts sections marking and cutoffs.","Phase 0","Critical","In Progress","agent_CT","TBD","TSP-001","A new exam can be imported without code changes.","FINAL_PRD Section 7.2","agent_CT","Epic remains In Progress. Schema, migration, seed manifest, and validation shell are done; transactional DB import writer still needs Supabase connection path.","","","M2 Quality&Selection"
"TSP-017","Task","Exam Manifest Engine","Create exam manifest Zod schema","Define schema for syllabus weights marking rules languages AI persona and historical cutoffs.","Phase 0","Critical","Done","agent_CT","TBD","TSP-004","Invalid manifests return clear validation errors.","FINAL_TRD Step 2","agent_CT","Manifest Zod schema validates exam metadata, marking, topic hierarchy, concept clusters, concepts, and historical cutoffs before DB import.","Schema is well-designed. z.lazy() for recursive topic hierarchy is the correct Zod pattern. schemaVersion z.literal(1.0) version gate is smart - schema version rejection test confirms this works. aiPersona field at exam level is present as per TRD. Gap: no cross-field validation that concept.topicSlug references an actual slug in the topics array. Add this semantic check in the import function (TSP-019) not in Zod.","","Done"
"TSP-018","Task","Exam Manifest Engine","Create exam topic concept migrations","Add exams exam_manifests topics concepts concept_clusters and historical_cutoffs tables.","Phase 0","Critical","Done","agent_CT","TBD","TSP-017","Migrations apply locally and on staging.","FINAL_TRD Section 6.2","agent_CT","Added exam configuration tables and admin-guarded RLS. Used public.is_admin helper based on JWT user_role/app_metadata claim.","Drizzle schema matches TRD Section 6.2. Self-referential topics.parentId with AnyPgColumn type is correct Drizzle pattern. Relations defined for ORM queries. Check: unique(exam_id slug) constraint for topics is specified in TRD but not visible in the Drizzle schema file - verify it exists in migration 202605060002 SQL or add it.","","Done"
"TSP-019","Task","Exam Manifest Engine","Build admin manifest import","Admin can upload JSON manifest and create exam hierarchy.","Phase 1","Critical","Review","Codex","TBD","TSP-018","Manifest import creates exam topics concepts and cutoffs transactionally.","FINAL_PRD EC-04","Codex","Implemented app-side semantic import planning, admin import server action, and transactional Supabase RPC migration. Supabase pooler connection is verified, migrations applied, and direct RPC smoke imported the UPSC seed manifest with 18 topics, 4 concepts, 2 clusters, and 2 cutoffs. Browser admin-session smoke still needs a real admin user session before marking Done.","RPC logic is clean: is_admin() guard correct, transactional cascade-replace is safe, revoke/grant execute present. Duplicate-slug and cross-reference semantic validation runs before the RPC call. auth.uid() returns NULL in Node smoke scripts (set_config does not populate auth.uid()); imported_by will be NULL after smoke but is correctly populated in real browser sessions. No blocking issues. Ready for browser admin-session smoke.","Revert 202605060003_import_exam_manifest.sql and manifest import UI/action changes if import behavior needs to return to validation-only mode.","M0 Unblock&Verify"
"TSP-020","Task","Exam Manifest Engine","Build admin manifest export","Admin can export exam manifest JSON for backup or reuse.","Phase 1","Medium","Backlog","Unassigned","TBD","TSP-019","Exported manifest can be re-imported into staging.","FINAL_PRD EC-04","","","","","M2 Quality&Selection"
"TSP-021","Task","Exam Manifest Engine","Seed UPSC Prelims manifest","Create first production-style manifest for UPSC Prelims.","Phase 0","High","Done","agent_CT","TBD","TSP-019","UPSC exam appears in exam selection with topics and marking rules.","FINAL_TRD Open Decisions","agent_CT","Added UPSC Prelims seed manifest with topics, concepts, clusters, marking, AI persona, and cutoff placeholders marked to be verified before public launch.","UPSC seed manifest passes all three manifest-schema unit tests including topicCount > 7 conceptCount > 0 and schema version rejection. Good baseline. Once TSP-019 lands this seed should become a CI-runnable import smoke test against a test database to catch regressions in the import logic.","","Done"
"TSP-022","Epic","Question Bank","Build trusted question bank and content operations","Admins can import create review approve search flag tier and retire questions.","Phase 0","Critical","In Progress","Codex","TBD","TSP-016","Question bank supports launch-quality content workflow.","FINAL_PRD Section 7.3","Codex","Epic opened after founder accepted proceeding while TSP-019 live Supabase smoke test remains pending. Current slice is TSP-023 question bank schema/migration.","","","M2 Quality&Selection"
"TSP-023","Task","Question Bank","Create question bank schema","Add questions question_versions question_concepts question_flags and question_stats tables.","Phase 0","Critical","Done","Codex","TBD","TSP-018","Schema supports all P0 question types and versioning.","FINAL_TRD Section 6.3","Codex","Added Drizzle question bank schema and SQL migration for questions, question_versions, question_concepts, question_flags, and question_stats. Migration includes pgvector embedding column, lifecycle/source/difficulty/exposure/quality checks, version uniqueness, FTS/vector/admin indexes, updated_at triggers, and RLS. Answer-bearing question_versions are admin-only for now; future session APIs should serve sanitized snapshots. Verification: typecheck, lint, and tests passed. Live DB migration application remains pending until Supabase credentials are provided.","","Revert src/lib/db/schema/question.ts, its index export, src/tests/unit/question-schema.test.ts, and supabase/migrations/202605150001_question_bank.sql.","Done"
"TSP-024","Task","Question Bank","Build admin question CRUD","Admin can create edit view and retire individual questions.","Phase 1","Critical","Review","Codex","TBD","TSP-023","Question changes create version history.","FINAL_PRD QB-01","Codex","Admin question CRUD implementation adds admin list/detail/create/edit/retire UI, transactional Supabase RPCs for create/update/retire, and form validation that preserves version history. Direct Supabase RPC smoke passed: create version 1, update version 2, retire status, then cleanup. Grant fix was re-applied to Supabase and authenticated execute grants were verified. Browser admin-session smoke still needs a real admin user session before marking Done.","Critical bug found and fixed: migration 202605170001 was missing grant execute for create_admin_question, update_admin_question, and retire_admin_question. Without grants PostgREST returns permission denied on every browser RPC call even for authenticated admins. Grant statements added to migration file; DB was re-migrated and scripts/check-rpc-grants.js verified authenticated execute privilege for all question CRUD RPCs. Known gaps: (1) topics dropdown loads all topics across all exams - RPC validates scope correctly but UX is confusing, track as follow-up under TSP-031; (2) no admin role guard in Server Component pages or layout - TSP-090 addresses this; (3) no form reset after successful create - minor UX gap. Retire action does not validate questionId as UUID - safe because RPC handles it but surface a clearer error in future.","Revert src/app/admin/questions, src/components/admin/question-editor.tsx, src/lib/question-bank/admin-question-schema.ts, src/tests/unit/admin-question-schema.test.ts, admin nav changes, and supabase/migrations/202605170001_admin_question_crud.sql.","M0 Unblock&Verify"
"TSP-025","Task","Question Bank","Build bulk CSV JSON import","Admin can upload questions with validation report and error rows.","Phase 1","Critical","In Progress","Codex","TBD","TSP-023","Bulk import creates draft questions and reports invalid rows.","FINAL_PRD QB-02","Codex","Implemented initial bulk question import slice: JSON/CSV parser with row-level validation, unit test coverage, admin import page, client importer, and server action that dry-runs validation or imports by reusing create_admin_question after all rows validate. Verification is partially blocked because pnpm install left node_modules without top-level package links, so Vitest/typecheck cannot currently run; browser persistence smoke still waits for a real admin user session.","","Revert src/lib/question-bank/bulk-question-import.ts, src/app/admin/questions/import, src/components/admin/question-importer.tsx, src/tests/unit/bulk-question-import.test.ts, and the /admin/questions bulk import link.","M0 Unblock&Verify"
"TSP-026","Task","Question Bank","Implement review approval workflow","Admins can approve reject edit and publish questions.","Phase 1","Critical","Review","Codex","TBD","TSP-024","Only approved live questions can be used in tests.","FINAL_PRD QB-07","Codex","Added /admin/questions/review with approve, reject-to-draft, publish, restore-live, and retire controls wired through set_question_status. The page shows per-question status history from question_status_events and links back to edit. Local verification passed by exit status: typecheck, lint, test, build, plus node --check for check-rpc-grants.js. Live DB migration and browser admin smoke are blocked by Supabase pooler error: (ENOTFOUND) tenant/user postgres.iwzerbplanzlzwtiiska not found.","","Remove /admin/questions/review, the status control component, and review nav/overview links if rollback is needed.","M0 Unblock&Verify"
"TSP-027","Task","Question Bank","Implement question lifecycle statuses","Support draft validated reviewed approved live flagged and retired statuses.","Phase 1","High","Done","Codex","TBD","TSP-023","Status changes are enforced by admin workflow and test selection.","FINAL_PRD QB-06","Codex","Added the TypeScript lifecycle map and unit tests, added set_question_status security-definer RPC, delegated retire to the lifecycle RPC, and redefined update_admin_question so content edits no longer mutate status. Local verification passed by exit status: typecheck, lint, test, build. Live DB migration is blocked by Supabase pooler error: (ENOTFOUND) tenant/user postgres.iwzerbplanzlzwtiiska not found.","","Revert the lifecycle migration, question-lifecycle helper/test, and question action refactor if status changes need to return to direct CRUD writes.","M0 Unblock&Verify"
"TSP-028","Task","Question Bank","Implement question flags and quarantine","Users can report questions and threshold rules move questions to quarantine.","Phase 1","High","Review","Gemini (Builder)","TBD","TSP-026","Flagged questions appear in admin review and can be retired or restored.","FINAL_PRD Section 8","Gemini (Builder)","","Sanity 2026-06-05 (Architect): PASS, 1 blocking fix applied. S33-A: submit_question_flag ON CONFLICT arbiter predicate (status=open only) did not match the partial unique index predicate (status=open AND user_id is not null), so Postgres raised no-unique-or-exclusion-constraint-matching on every call. Confirmed empirically on the live DB; fixed in migration 202606050001 and re-applied the corrected function live (authenticated execute verified). Other gates green: questionId is the real questions.id; resolve_question_flag is admin-guarded + idempotent; flag_count kept lockstep across questions/question_stats; live->flagged transition audited inline. N33-1: live questions must be seeded before browser smoke. --- Builder: Session 33 complete (2026-06-05). Commit 1 (schema+mechanism): migration 202606050001_question_flags_quarantine.sql (partial unique index, submit_question_flag plpgsql definer RPC, resolve_question_flag admin RPC, grants); flag-reasons.ts; flagQuestionAction in actions.ts; ReportQuestion client widget; TestRunner wiring; flag-reasons.test.ts (unit, offline-verifiable); smoke-question-flags.js (4 assertions, gated on M0 live DB); check-rpc-grants.js updated 12->14. Commit 2 (admin surface): flags/page.tsx, flag-actions.ts, resolve-flag-form.tsx, admin-nav + overview card. typecheck+lint+build pass. Status Review: blocked on M0 live-DB/browser smoke, same ceiling as other ~21 UI rows. Unblocks TSP-092.","","M2 Quality&Selection"

"TSP-029","Task","Question Bank","Implement quality tiers","Assign Gold Silver Bronze and Quarantine tiers for question selection.","Phase 1","High","Review","Codex","TBD","TSP-027","Diagnostic selection can require Gold or Silver questions.","FINAL_PRD Section 8.1","Codex","Implemented quality tier helper/tests, set_question_quality_tier RPC with question_stats upsert sync, start_test_session p_min_quality_tier filtering with unconditional quarantine exclusion, admin edit tier control, startSessionAction minQualityTier validation, and grant-checker coverage. Live migrations applied through 202605310003 and authenticated RPC grants verified. Verification passed: targeted quality/exposure Vitest, typecheck, lint, test, build, node --check scripts/check-rpc-grants.js, node run-migrations.js, and node scripts/check-rpc-grants.js. Dev server still exits immediately in this workspace.","Sanity 2026-05-31 (Architect): PASS. set_question_quality_tier upserts both questions.quality_tier and question_stats.quality_tier correctly. Quarantine excluded unconditionally before CASE block - cannot be selected even if p_min_quality_tier=quarantine. TS input validation in setQualityTierAction before RPC; startSessionAction falls back to bronze for absent/invalid input. Grant hygiene clean: old 6-param start_test_session dropped before 7-param creation; both RPCs revoked and re-granted. Unit tests cover all tier comparisons and invalid inputs. Commended: SQL also normalises invalid p_min_quality_tier to bronze; minQualityTier frozen in metadata.selection. Non-blocking N11: TS and SQL tier ordering must stay in sync if tier list changes. DB gate passed (run-migrations + check-rpc-grants 9 RPCs). Only browser smoke remains before Done.","Revert supabase/migrations/202605310002_quality_tiers.sql, src/lib/question-bank/quality-tier.ts, src/tests/unit/quality-tier.test.ts, the quality-tier admin action/editor controls, startSessionAction minQualityTier wiring, and grant-checker coverage; re-apply a rollback migration if the live start_test_session signature must be restored.","M2 Quality&Selection"
"TSP-030","Task","Question Bank","Implement exposure policies","Support practice diagnostic_reserved benchmark_reserved and hidden pools.","Phase 1","High","Review","Codex","TBD","TSP-029","Reserved questions are not used in generic practice.","FINAL_PRD QB-11","Codex","Implemented exposure-policy helper/tests, set_question_exposure_policy RPC, type-based start_test_session exposure pools for diagnostic/benchmark/mock/custom/topic/sectional/concept_retest with hidden excluded, admin edit policy control, and grant-checker coverage. Live migrations applied through 202605310003 and authenticated RPC grants verified. Verification passed: targeted quality/exposure Vitest, typecheck, lint, test, build, node --check scripts/check-rpc-grants.js, node run-migrations.js, and node scripts/check-rpc-grants.js. Dev server still exits immediately in this workspace.","Sanity 2026-05-31 (Architect): PASS. set_question_exposure_policy validates and updates policy correctly. hidden never in any eligible list for any session type - confirmed by it.each test and explicit loop. SQL v_exposure_policies CASE has no hidden branch. Grant hygiene clean; start_test_session re-granted in migration 003 after create or replace. exposurePolicies array frozen in metadata.selection. Non-blocking N11: TS and SQL exposure mapping must stay in sync if session types change. DB gate passed (run-migrations + check-rpc-grants). Only browser smoke remains before Done.","Revert supabase/migrations/202605310003_exposure_policies.sql, src/lib/question-bank/exposure-policy.ts, src/tests/unit/exposure-policy.test.ts, the exposure-policy admin action/editor controls, and grant-checker coverage; re-apply a rollback migration if the live start_test_session exposure selection should return to practice-only.","M2 Quality&Selection"
"TSP-031","Task","Question Bank","Build admin search and filters","Search by text exam topic concept difficulty source status and quality tier.","Phase 1","High","Review","Codex","TBD","TSP-024","Admin list returns filtered results within target latency.","FINAL_PRD QB-12","Codex","Implemented search_admin_questions security-definer RPC with admin guard, nullable filters, FTS over content text/stem skipped when query is empty, pagination returning total/questions, and admin questions URL-driven filter UI with Previous/Next links. Added search_admin_questions to the RPC grant checker; live migrations applied through 202605310005 and 10 authenticated RPC grants verified. Verification passed: selection Vitest, typecheck, lint, test, build, node --check scripts/check-rpc-grants.js, node run-migrations.js, and node scripts/check-rpc-grants.js. Dev server still exits immediately in this workspace.","Sanity 2026-06-01 (Architect): PASS. is_admin() guard fires before any data access - non-admin gets 42501. FTS skipped correctly: v_query := nullif(btrim(coalesce(p_query,'')),''') normalises null/empty/whitespace to NULL; WHERE (v_query is null or ...) is vacuously true when NULL - not a restrictive filter. Grant hygiene clean: revoke all from public; grant execute to authenticated. hasFilters fast path preserved (direct query when no filters). Builder beyond-spec: added p_source filter (useful for PYQ vs manual filtering). Non-blocking N14 (cosmetic): PaginationControls receives page as separate prop but it is already on filters. DB gate passed (10 RPCs in grant checker). Only browser smoke remains before Done.","Revert supabase/migrations/202605310004_admin_search.sql, src/components/admin/admin-question-filters.tsx, the admin questions page search/pagination changes, and the grant-checker search_admin_questions entry; re-apply a rollback migration if the live RPC should be removed.","M2 Quality&Selection"
"TSP-032","Task","Question Bank","Add embeddings and semantic duplicate check","Generate embeddings and detect near duplicates during import and generation.","Phase 1.5","High","Backlog","Unassigned","TBD","TSP-025","Near duplicate questions are blocked or warned with similarity score.","FINAL_PRD QB-13","","","","","M2 Quality&Selection"
"TSP-033","Task","Question Bank","Add PYQ contested source metadata","Track source reference official key and contested status for PYQs.","Phase 1.5","Medium","Backlog","Unassigned","TBD","TSP-023","Contested PYQs show review note in admin and explanation context.","FINAL_PRD QB-16","","","","","M2 Quality&Selection"
"TSP-034","Epic","Test Session Engine","Build reusable templates and user test sessions","Support diagnostic topic concept retest sectional mock benchmark and custom tests.","Phase 1","Critical","In Progress","Codex","TBD","TSP-022","Users can start and complete timed test sessions.","FINAL_PRD Section 7.6","Codex","Epic opened for Session 3 server-side take-a-test loop: start session, save answer, and submit/score. UI/timer and smart selection remain separate rows.","","Close or revert Session 3 engine rows if the test session engine implementation direction changes.","M1 Playable Test"
"TSP-035","Task","Test Session Engine","Create test template session schema","Add test_templates test_sessions session_questions session_answers and session_results.","Phase 1","Critical","Done","Codex","TBD","TSP-023","Schema snapshots question versions per session.","FINAL_TRD Section 6.4","Codex","Added test_templates, test_sessions, session_questions, session_answers, and session_results migration plus Drizzle schema and schema-shape tests. session_questions includes answer-stripped prompt_snapshot with a DB check against common answer/explanation keys. RLS covers active template reads, owner sessions/answers/results, admin operations, and restricted session question/result inserts. Local verification passed by exit status: typecheck, lint, test, build. Live DB migration is blocked by Supabase pooler error: (ENOTFOUND) tenant/user postgres.iwzerbplanzlzwtiiska not found.","","Drop the Session 2 test-session migration and remove the Drizzle session schema/export if rollback is needed.","M0 Unblock&Verify"
"TSP-036","Task","Test Session Engine","Implement diagnostic question selection","Select balanced high-quality diagnostic questions by exam weights.","Phase 1","Critical","Review","Codex","TBD","TSP-035 TSP-029","Diagnostic uses fixed or equated selection and approved questions only.","FINAL_TRD Section 10.2","Codex","Implemented computeTopicAllocations with unit tests, private select_diagnostic_questions SQL helper using weighted topic allocation plus fillup, and start_test_session diagnostic branching with diagnostic_weighted and diagnostic_random_fallback selected_by_reason values. Diagnostic paths use approved/live status while non-diagnostic selection remains live-only. select_diagnostic_questions is revoked from public and intentionally not grant-checked. Live migrations applied through 202605310005 and authenticated grants verified for the 10 public RPCs only. Verification passed: selection Vitest, typecheck, lint, test, build, node --check scripts/check-rpc-grants.js, node run-migrations.js, and node scripts/check-rpc-grants.js. Dev server still exits immediately in this workspace.","Sanity 2026-06-01 (Architect): PASS. select_diagnostic_questions: revoke all from public with no grant - private helper only. Status broadened to approved+live in weighted_picks, fillup, and diagnostic fallback loop only; non-diagnostic else branch uses status=live unchanged. Zero-rows fallback is graceful: v_sequence=0 triggers diagnostic_random_fallback loop then metadata update; exception only fires if fallback also yields nothing. Allocation sum equals p_count: generate_series(1, p_count-allocated) distributes exactly the remainder. fillup CTE guarded by exists(select 1 from topic_allocs) - ensures clean zero-row return when no weights defined. start_test_session re-granted after create or replace. Non-blocking N13: SQL and TS allocation algorithms independently implemented - must stay in sync. DB gate passed (10 public RPCs; select_diagnostic_questions correctly absent from grant checker). Only browser smoke remains before Done.","Revert supabase/migrations/202605310005_diagnostic_selection.sql, src/lib/test-session/selection.ts, src/tests/unit/selection.test.ts, and the diagnostic start_test_session replacement; re-apply a rollback migration if the live start_test_session should return to the Session 7 selector.","M2 Quality&Selection"
"TSP-037","Task","Test Session Engine","Implement topic practice selection","Select questions by topic concept mastery difficulty source mix and exposure rules.","Phase 1","High","Review","Codex","TBD","TSP-035 TSP-030","Topic practice avoids recently seen questions and respects source mix.","FINAL_TRD Section 10.2","Codex","Implemented computeDifficultyAllocations with unit tests, private select_topic_practice_questions, recency exclusion for the user's last 3 topic/concept_retest sessions, and a topic branch in start_test_session with topic_practice_balanced metadata before session insert. Source mix and mastery-adaptive difficulty are deferred per the Architect plan. Live migrations applied through 202606010002 and the 10 public RPC grants verified; private helper is not grant-checked. Browser/student smoke for topic sessions remains before Done.","Sanity PASS 2026-06-01. All 9 focus items clear. Critical pre-INSERT v_selection_mode ordering verified correct. N15 non-blocking: fixed_picks skips p_min_quality_tier (intentional for fixed templates). Browser/student smoke remains.","Revert supabase/migrations/202606010001_topic_practice_selection.sql, the computeDifficultyAllocations helper/tests, and re-apply a rollback migration if start_test_session should return topic sessions to the generic minimal_live_filter branch.","M2 Quality&Selection"
"TSP-038","Task","Test Session Engine","Implement benchmark mock selection","Support fixed or equated benchmark mocks for comparable progress.","Phase 1","High","Review","Codex","TBD","TSP-035 TSP-030","Benchmark mocks do not adapt to user performance.","FINAL_PRD Section 7.4","Codex","Implemented private select_benchmark_questions with fixed-template and gold-priority modes, live-only benchmark/mock selection, same-exam enforcement for fixed question IDs, and pre-insert benchmark/mock selection metadata in start_test_session. Live migrations applied through 202606010002 and the 10 public RPC grants verified; private helper is not grant-checked. Browser/student smoke for benchmark/mock sessions remains before Done.","Sanity PASS 2026-06-01. All 9 focus items clear. Critical pre-INSERT ordering: v_fixed_qids resolved then v_selection_mode set then INSERT — confirmed correct. N15 non-blocking: fixed_picks skips p_min_quality_tier (intentional). Browser/student smoke remains.","Revert supabase/migrations/202606010002_benchmark_selection.sql and re-apply a rollback migration if benchmark/mock sessions should return to the generic minimal_live_filter branch.","M2 Quality&Selection"
"TSP-039","Task","Test Session Engine","Implement session start API","Create session server-side and return question content without correct answers.","Phase 1","Critical","Done","Codex","TBD","TSP-035","Session start never exposes answer keys or explanations.","FINAL_TRD Section 10.1","Codex","Added buildPromptSnapshot pure helper/tests, matching SQL build_session_prompt_snapshot allowlist, start_test_session security-definer RPC, and startSessionAction. RPC sets user_id=auth.uid(), freezes question_version_id and markingRule metadata, selects minimal live practice questions by exam/topic, and returns only session ids, expiry, sequence, and prompt_snapshot. Local verification passed by exit status: targeted Vitest, typecheck, lint, full test, build. Live DB migration is blocked by Supabase pooler error: (ENOTFOUND) tenant/user postgres.iwzerbplanzlzwtiiska not found.","","Drop the Session 3 engine migration and remove startSessionAction/prompt-snapshot helper if rollback is needed.","M0 Unblock&Verify"
"TSP-040","Task","Test Session Engine","Implement answer autosave API","Upsert answers confidence timing and review flags safely.","Phase 1","Critical","Review","Codex","TBD","TSP-039","Autosave persists answer changes and rejects expired sessions.","FINAL_TRD Section 10.3","Codex","Added saveAnswerAction. It requires auth, validates the caller owns an in_progress non-expired session, verifies the question belongs to the session, upserts selected_answer/confidence/marked_review/timing, accumulates time_spent_sec, bumps revisit_count, and keeps is_correct/marks_awarded null until submit. Local verification passed by exit status: typecheck, lint, full test, build. Browser/API smoke remains blocked by Supabase DATABASE_URL/admin-test-user setup.","","Remove saveAnswerAction if autosave implementation direction changes.","M0 Unblock&Verify"
